,1ST WEEK,,,,,2ND WEEK,,,,,3RD WEEK,,,,,4TH WEEK,,,,,5TH WEEK,,,,
,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY
SEPTEMBER,2,3,4,5,6,9,10,11,12,13,16,17,18,19,20,23,24,25,26,27,30,,,,
,H,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,PA,3,,,,
OCTOBER,,1,2,3,4,7,8,9,10,11,14,15,16,17,18,21,22,23,24,25,28,29,30,31,
,,4,1,2,3,4,1,2,3,4,H,1,2,3,4,1,2,3,4,1,2,3,4,1,
NOVEMBER,,,,,1,4,5,6,7,8,11,12,13,14,15,18,19,20,21,22,25,26,27,28,29
,,,,,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,PA
DECEMBER,2,3,4,5,6,9,10,11,12,13,16,17,18,19,20,23,24,25,26,27,30,31,,,
,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,H,H,H,H,H,H,H,,,
JANUARY,,,1,2,3,6,7,8,9,10,13,14,15,16,17,20,21,22,23,24,27,28,29,30,31
,,,H,H,H,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,PA
FEBRUARY,3,4,5,6,7,10,11,12,13,14,17,18,19,20,21,24,25,26,27,28,,,,,
,4,1,2,3,4,1,2,3,4,PA,H,1,2,3,4,1,2,3,4,1,,,,,
MARCH,3,4,5,6,7,10,11,12,13,14,17,18,19,20,21,24,25,26,27,28,31,,,,
,2,3,4,1,2,H,H,H,H,H,3,4,1,2,3,4,1,2,3,PA,4,,,,
APRIL,,1,2,3,4,7,8,9,10,11,14,15,16,17,18,21,22,23,24,25,28,29,30,,
,,1,2,3,4,1,2,3,4,1,2,3,4,1,H,H,2,3,4,1,2,3,4,,
MAY,,,,1,2,5,6,7,8,9,12,13,14,15,16,19,20,21,22,23,26,27,28,29,30
,,,,1,2,3,4,1,2,3,4,1,2,3,4,H,1,2,3,4,1,2,3,4,1
JUNE,2,3,4,5,6,9,10,11,12,13,16,17,18,19,20,23,24,25,26,27,,,,,
,2,3,4,1,2,3,4,1,E,E,E,E,E,E,E,E,E,E,PA,PA,,,,,